UID;Content
1;Qu'est-ce que le harcèlement en ligne ?
2;Si tu es témoin de harcèlement en ligne, que devrais-tu faire ?
3;Quel type de contenu peut être dangereux sur les réseaux sociaux ? (choix multiple)
4;Que signifie 'anonymat' sur les réseaux sociaux ?
5;Pourquoi est-il important de protéger ses informations personnelles en ligne ?
6;Que peut-on faire pour rendre un réseau social plus sécurisé ?
7;Quel est un signe que quelqu'un est harcelé en ligne ?
8;Comment peux-tu aider un ami victime de harcèlement en ligne ?
9;Si quelqu'un te harcèle en ligne, quelle est la meilleure chose à faire ?"
10;Pourquoi les gens harcèlent-ils en ligne ?
11;Que veut dire 'cyberharcèlement' ?
12;Est-ce que tu peux être puni pour du harcèlement en ligne ?
13;Que faire si tu vois des informations fausses sur quelqu'un en ligne ?
14;Quels types de messages peuvent être considérés comme du harcèlement en ligne ? (choix multiple)
15;Pourquoi est-il risqué d'accepter des inconnus sur les réseaux sociaux ?
16;Comment savoir si une photo est appropriée à poster en ligne ?
17;Comment peux-tu protéger tes comptes sur les réseaux sociaux ? (choix multiple)
18;Pourquoi certaines personnes peuvent-elles être plus vulnérables au harcèlement en ligne ?
19;Que faire si tu reçois des menaces en ligne ?
20;Quel est l'impact du harcèlement sur la personne harcelée ? (choix multiple)
