UID;Answer
1;a) Une discussion entre amis.
1;b) L'envoi répété de messages méchants ou blessants.
1;c) Poster des photos de vacances.
1;d) Jouer à des jeux en ligne.
2;a) Laisser faire, ça ne te concerne pas.
2;b) Signaler le comportement à un adulte.
2;c) Encourager le harceleur.
2;d) Ignorer le message.
3;a) Messages violents ou menaçants.
3;b) Photos privées partagées sans permission.
3;c) Commentaires positifs et encourageants.
3;d) Informations fausses ou trompeuses.
4;a) Être invisible pour tout le monde.
4;b) Utiliser un faux nom pour cacher son identité.
4;c) Être en ligne sans avoir de compte.
4;d) Publier des photos sans être vu.
5;a) Pour que tes amis ne te retrouvent pas.
5;b) Pour éviter que des inconnus les utilisent contre toi.
5;c) Parce que c’est la loi.
5;d) Pour gagner des abonnés.
6;a) Partager son mot de passe avec ses amis.
6;b) Utiliser un mot de passe fort et unique.
6;c) Accepter toutes les demandes d'amis.
6;d) Poster ses informations personnelles.
7;a) Il/elle sourit tout le temps.
7;b) Il/elle reçoit de nombreux messages blessants.
7;c) Il/elle parle souvent de ses amis en ligne.
7;d) Il/elle poste beaucoup de photos.
8;a) Ignorer ce qu’il se passe.
8;b) En parler à un adulte ou à un professeur.
8;c) Harceler la personne à son tour.
8;d) Encourager ton ami à quitter le réseau social.
9;a) Supprimer le message sans rien dire.
9;b) Répondre de façon méchante.
9;c) Bloquer et signaler la personne.
9;d) Publier le message pour que tout le monde le voie.
10;a) Pour se sentir plus forts.
10;b) Pour impressionner leurs amis.
10;c) Parce qu’ils sont souvent eux-mêmes blessés.
10;d) Toutes ces réponses.
11;a) Harceler quelqu'un en face à face.
11;b) Être harcelé par des robots en ligne.
11;c) Harceler quelqu'un à travers des messages, des photos ou des vidéos en ligne.
11;d) Aider un ami à se défendre en ligne.
12;a) Non, car c'est sur Internet.
12;b) Oui, cela peut avoir des conséquences légales.
12;c) Seulement si tu te fais attraper.
12;d) Non, si tu utilises un faux nom.
13;a) Les partager avec tes amis.
13;b) Les signaler au réseau social.
13;c) Ajouter d'autres informations pour rendre la situation pire.
13;d) Ne rien faire.
14;a) Des messages menaçants ou insultants.
14;b) Des commentaires drôles entre amis.
14;c) Des messages envoyés à répétition pour blesser quelqu'un.
14;d) Des critiques constructives.
15;a) Ils peuvent être gentils et drôles.
15;b) Ils peuvent partager des informations intéressantes.
15;c) Ils peuvent avoir de mauvaises intentions et te manipuler.
15;d) Ils pourraient t’offrir des cadeaux.
16;a) Si elle est amusante.
16;b) Si tout le monde est d'accord pour qu'elle soit partagée.
16;c) Si elle montre tes informations personnelles.
16;d) Si elle a été prise en privé.
17;a) Utiliser l'authentification à deux facteurs.
17;b) Partager ton mot de passe avec tes amis proches.
17;c) Changer ton mot de passe régulièrement.
17;d) Utiliser le même mot de passe pour tous tes comptes.
18;a) Parce qu'elles partagent beaucoup de contenu.
18;b) Parce qu'elles sont jeunes ou isolées.
18;c) Parce qu'elles ont des amis en ligne.
18;d) Parce qu'elles sont populaires.
19;a) Répondre avec des menaces.
19;b) En parler à un adulte et signaler les messages.
19;c) Supprimer ton compte.
19;d) Ignorer et espérer que ça s'arrête.
20;a) Stress et anxiété.
20;b) Perte de confiance en soi.
20;c) Joie et amusement.
20;d) Isolement social.
